archive,version,size_bytes,sha256,source,error
AudioKnigi_Downloader_v3_0_bundle.zip,3.0,15098,6c66c7393858c2e2488bee86bf5287bca30b25d1f34c4842f3b12d02a3bbb1f9,ChatGPT Library historical ZIP,
AudioKnigi_Downloader_v4_10_0_Event_Sounds.zip,4.10.0,1017158,414acccd64fa653498c70108879c171eea82d5d0bd433e433c0b092a19a72ff3,ChatGPT Library historical ZIP,
AudioKnigi_Downloader_v4_10_1_Expanded_Event_Sounds.zip,4.10.1,1186534,0460720b0282001df612935d999c0f8d40b184f19159e90c2c7b814737226c13,ChatGPT Library historical ZIP,
AudioKnigi_Downloader_v4_10_2_Multilingual_Event_Sounds.zip,4.10.2,1356127,d27f8347912546e12ed29f2e07e21a13894232257f4af4e244f61db1af04605e,ChatGPT Library historical ZIP,
AudioKnigi_Downloader_v4_10_3_English_Event_Sounds.zip,4.10.3,1428993,8669ffe4a1a24b6315efc7e0bf1c1cddfed1b22a1c2e03173f5616fec0c4b468,ChatGPT Library historical ZIP,
AudioKnigi_Downloader_v4_10_4_Complete_English_Event_Sounds.zip,4.10.4,1529857,0701af832ca977655818633ce6c3531e881abde2f62333c51d19c72fb751390d,ChatGPT Library historical ZIP,
AudioKnigi_Downloader_v4_11_0_PoleKnig.zip,4.11.0,1533620,955c12758def8c91045e9377600fe7f7839d1e1c8b81d0a578b6061403f47c95,ChatGPT Library historical ZIP,
AudioKnigi_Downloader_v4_11_1_PoleKnig_Variants.zip,4.11.1,1541801,ed948c6e3ba57dc43fce704683f0b42960fc81f288c4ba2fc63522a8beaf08b5,ChatGPT Library historical ZIP,
AudioKnigi_Downloader_v4_11_2_PoleKnig_Author_Search.zip,4.11.2,1547957,d1f7799bb123634d584eac267c39c49b9e6751edd553ae62481ad8eb2abd62e2,ChatGPT Library historical ZIP,
AudioKnigi_Downloader_v4_12_0_User_Friendly.zip,4.12.0,1560044,564ee59351906d2cbb76c541263ee7478c518a65ebe2d942fcc7e71c4126254c,ChatGPT Library historical ZIP,
