version,category,basename,original_path,archive,sha256,size_bytes,canonical_path
3.0,docs,README_v3.txt,README_v3.txt,AudioKnigi_Downloader_v3_0_bundle.zip,9f0b4b1a4c9244084c9e4365e3f837559e15e8999dd20e1d3282b5a5d53ec38f,1179,history/variants/docs/3.0/README_v3.txt
4.1,docs,README_v4_1.txt,README_v4_1.txt,AudioKnigi_Downloader_v4_1_bundle.zip,7ff99207e46ae9e61fae617d53a7c6d7571cb5e777c452882046f556b73665b7,1701,history/variants/docs/4.1/README_v4_1.txt
4.10.0,docs,CHANGELOG.md,CHANGELOG.md,AudioKnigi_Downloader_v4_10_0_Event_Sounds.zip,ccd1bc2e0623b966b8e2ddf143cec866fb1a0e485080c4302e8c2eff77006918,61792,history/variants/docs/4.10.0/CHANGELOG.md
4.10.0,docs,README.md,README.md,AudioKnigi_Downloader_v4_10_0_Event_Sounds.zip,16ed8d10c0af58a5e1cd44011d244db14962f1725da7142c64736218a9c7452a,18942,history/variants/docs/4.10.0/README.md
4.10.0,docs,RELEASE_SETUP.md,RELEASE_SETUP.md,AudioKnigi_Downloader_v4_10_0_Event_Sounds.zip,a53bb2e1b3dd79f723ff4d04772d53d6fb40a77b52db747513772669f1a60269,960,history/variants/docs/4.10.0/RELEASE_SETUP.md
4.10.1,docs,CHANGELOG.md,CHANGELOG.md,AudioKnigi_Downloader_v4_10_1_Expanded_Event_Sounds.zip,41e22edf22109f91a788ee0c49e8a76caff99be2b3a7c80d2a89a17e685865e0,62548,history/variants/docs/4.10.1/CHANGELOG.md
4.10.1,docs,README.md,README.md,AudioKnigi_Downloader_v4_10_1_Expanded_Event_Sounds.zip,489c0004fc4a06467fc741cbdc86db3849f2bd526be34191bfa3b4b081d87721,18942,history/variants/docs/4.10.1/README.md
4.10.2,docs,CHANGELOG.md,CHANGELOG.md,AudioKnigi_Downloader_v4_10_2_Multilingual_Event_Sounds.zip,d7d73a08201ad8b6667f84393bc6e82d7e39b1bf1e816c2c148c10ffec1bb1c1,63315,history/variants/docs/4.10.2/CHANGELOG.md
4.10.2,docs,README.md,README.md,AudioKnigi_Downloader_v4_10_2_Multilingual_Event_Sounds.zip,3cecc1a17930a2117afd6dbbd109e88b5641b6a1abdcf6943cf77fcf86bc9056,19126,history/variants/docs/4.10.2/README.md
4.10.3,docs,CHANGELOG.md,CHANGELOG.md,AudioKnigi_Downloader_v4_10_3_English_Event_Sounds.zip,589d82daeb782a55f0f4545f26027fef0531afabed43b39c287b7fb9fbde8905,63688,history/variants/docs/4.10.3/CHANGELOG.md
4.10.3,docs,README.md,README.md,AudioKnigi_Downloader_v4_10_3_English_Event_Sounds.zip,6c5273019fc1e531e19b2f752e7e87b3b808958273bc84f2eea7575a2c32dedc,19244,history/variants/docs/4.10.3/README.md
4.10.4,docs,CHANGELOG.md,CHANGELOG.md,AudioKnigi_Downloader_v4_10_4_Complete_English_Event_Sounds.zip,9712e14a304cdecc00015fbbd3189bd35b52499f358efee186e2718a86931a10,64102,history/variants/docs/4.10.4/CHANGELOG.md
4.10.4,docs,README.md,README.md,AudioKnigi_Downloader_v4_10_4_Complete_English_Event_Sounds.zip,f7e8ae41dd399b4464ca9c59dcc82c9040be29330a4fb0ca7633b9b257b38a1b,19138,history/variants/docs/4.10.4/README.md
4.11.0,docs,CHANGELOG.md,CHANGELOG.md,AudioKnigi_Downloader_v4_11_0_PoleKnig.zip,4489b30d6b32bbcc701aed534e613f4c5cbf7f979a298c744c91a25f0e63c2b2,65113,history/variants/docs/4.11.0/CHANGELOG.md
4.11.0,docs,README.md,README.md,AudioKnigi_Downloader_v4_11_0_PoleKnig.zip,2577c54b26d7d511faa864cf80eb52b47e059603b5d6beec77e7eed72d2a54f9,19370,history/variants/docs/4.11.0/README.md
